OID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,lon,lat
1,Sikke,Sikkeler.kmz/Sikkeler/Bizans Sikkeleri,0,-1,0,,,-1,0,42.54934989100008,39.089670512000055
2,Sikke,Sikkeler.kmz/Sikkeler/Bizans Sikkeleri,0,-1,0,,,-1,22528,42.55228254300005,39.08676385600006
3,Sikke,Sikkeler.kmz/Sikkeler/Bizans Sikkeleri,0,-1,0,,,-1,22528,42.55149613700007,39.094492212000034
4,Sikke,Sikkeler.kmz/Sikkeler/Bizans Sikkeleri,0,-1,0,,,-1,22528,42.55236115800005,39.094652894000035
5,Sikke,Sikkeler.kmz/Sikkeler/Bizans Sikkeleri,0,-1,0,,,-1,22528,42.59579784500005,39.11942314200007
6,Sikke,Sikkeler.kmz/Sikkeler/Bizans Sikkeleri,0,-1,0,,,-1,22528,42.597561951000046,39.120256753000035
7,Sikke,Sikkeler.kmz/Sikkeler/Bizans Sikkeleri,0,-1,0,,,-1,22528,42.559541815000046,39.10103606100006
8,Sikke,Sikkeler.kmz/Sikkeler/İslami Sikkeler,0,-1,0,,,-1,22528,42.59702365100003,39.11738143400004
9,Sikke,Sikkeler.kmz/Sikkeler/İslami Sikkeler,0,-1,0,,,-1,22528,42.54836265600005,39.09185739000003
10,Sikke,Sikkeler.kmz/Sikkeler/İslami Sikkeler,0,-1,0,,,-1,22528,42.56694799300004,39.10561012100004
11,Sikke,Sikkeler.kmz/Sikkeler/İslami Sikkeler,0,-1,0,,,-1,-21760,42.59604116200006,39.11537300700007
12,Sikke,Sikkeler.kmz/Sikkeler,1,-1,0,,,-1,0,42.53316737000006,39.07650188300005
13,Sikke,Sikkeler.kmz/Sikkeler,1,-1,0,,,-1,0,42.552439711000034,39.086977069000056
14,Sikke,Sikkeler.kmz/Sikkeler,1,-1,0,,,-1,0,42.55187144900003,39.093778506000035
15,Sikke,Sikkeler.kmz/Sikkeler,1,-1,2.009938782914796,,,-1,0,42.548756500000025,39.09227660000005
16,Sikke,Sikkeler.kmz/Sikkeler,1,-1,0,,,-1,0,42.58871730000004,39.138035700000046
17,Sikke,Sikkeler.kmz/Sikkeler,0,-1,0,,,-1,0,42.54921828800008,39.092384293000066